"x","y"
"0","34"
"1","45"
"2","66"
"3","72"
"4","61"
"5","96"
"6","94"
"7","104"
"8","87"
"9","130"
"10","114"
"11","112"
"12","121"
"13","138"
"14","131"
"15","140"
"16","134"
"17","114"
"18","129"
"19","131"
"20","136"
"21","122"
"22","126"
"23","129"
"24","139"
"25","119"
"26","117"
"27","156"
"28","123"
"29","139"
"30","119"
"31","108"
"32","103"
"33","102"
"34","90"
"35","102"
"36","93"
"37","81"
"38","72"
"39","74"
"40","57"
"41","52"
"42","42"
"43","67"
"44","62"
"45","44"
"46","55"
"47","52"
"48","65"
"49","63"
"50","44"
"51","48"
"52","52"
"53","58"
"54","48"
"55","64"
"56","55"
"57","57"
"58","52"
"59","68"
"60","52"
"61","61"
"62","47"
"63","54"
"64","45"
"65","54"
"66","38"
"67","46"
"68","44"
"69","36"
"70","40"
"71","38"
"72","32"
"73","32"
"74","30"
"75","35"
"76","29"
"77","38"
"78","29"
"79","26"
"80","24"
"81","27"
"82","24"
"83","23"
"84","20"
"85","17"
"86","13"
"87","14"
"88","7"
"89","18"
"90","12"
"91","15"
"92","11"
"93","13"
"94","19"
"95","9"
"96","11"
"97","10"
"98","12"
"99","14"
"100","14"
"101","16"
"102","10"
"103","13"
"104","11"
"105","12"
"106","9"
"107","14"
"108","14"
"109","9"
"110","9"
"111","15"
"112","11"
"113","15"
"114","8"
"115","7"
"116","6"
"117","7"
"118","11"
"119","11"
"120","8"
"121","13"
"122","12"
"123","13"
"124","15"
"125","11"
"126","6"
"127","13"
"128","9"
"129","10"
"130","6"
"131","13"
"132","7"
"133","17"
"134","15"
"135","11"
"136","5"
"137","13"
"138","13"
"139","6"
"140","14"
"141","14"
"142","11"
"143","14"
"144","4"
"145","12"
"146","8"
"147","6"
"148","7"
"149","11"
"150","5"
"151","6"
"152","16"
"153","9"
"154","6"
"155","14"
"156","5"
"157","6"
"158","10"
"159","6"
"160","7"
"161","8"
"162","4"
"163","7"
"164","2"
"165","2"
"166","2"
"167","6"
"168","2"
"169","3"
"170","4"
"171","3"
"172","3"
"173","2"
"174","7"
"175","2"
"176","2"
"177","1"
"178","2"
"179","3"
"180","6"
"181","4"
"182","5"
"183","1"
"184","2"
"185","6"
"186","2"
"187","1"
"188","2"
"189","3"
"190","2"
"191","7"
"192","4"
"193","4"
"194","1"
"195","7"
"196","3"
"197","2"
"198","4"
"199","1"
"200","3"
"201","2"
"202","2"
"203","2"
"204","4"
"205","3"
"206","2"
"207","3"
"208","1"
"209","5"
"210","0"
"211","1"
"212","3"
"213","6"
"214","4"
"215","1"
"216","2"
"217","2"
"218","3"
"219","3"
"220","3"
"221","3"
"222","1"
"223","2"
"224","2"
"225","3"
"226","2"
"227","1"
"228","3"
"229","0"
"230","1"
"231","1"
"232","0"
"233","1"
"234","1"
"235","2"
"236","1"
"237","0"
"238","5"
"239","1"
"240","2"
"241","0"
"242","0"
"243","4"
"244","1"
"245","1"
"246","4"
"247","2"
"248","2"
"249","2"
"250","4"
"251","2"
"252","3"
"253","0"
"254","0"
"255","3"
"256","1"
"257","2"
"258","4"
"259","2"
"260","2"
"261","2"
"262","4"
"263","1"
"264","3"
"265","1"
"266","1"
"267","4"
"268","3"
"269","2"
"270","2"
"271","2"
"272","3"
"273","2"
"274","2"
"275","2"
"276","3"
"277","1"
"278","4"
"279","1"
"280","0"
"281","1"
"282","3"
"283","0"
"284","2"
"285","4"
"286","0"
"287","2"
"288","2"
"289","2"
"290","4"
"291","3"
"292","1"
"293","3"
"294","4"
"295","0"
"296","1"
"297","5"
"298","3"
"299","0"
"300","3"
"301","2"
"302","1"
"303","1"
"304","3"
"305","2"
"306","2"
"307","2"
"308","3"
"309","0"
"310","2"
"311","3"
"312","1"
"313","2"
"314","1"
"315","1"
"316","0"
"317","1"
"318","1"
"319","4"
"320","3"
"321","1"
"322","0"
"323","2"
"324","1"
"325","0"
"326","1"
"327","2"
"328","0"
"329","1"
"330","1"
"331","2"
"332","2"
"333","3"
"334","0"
"335","1"
"336","1"
"337","0"
"338","1"
"339","0"
"340","0"
"341","1"
"342","0"
"343","0"
"344","2"
"345","1"
"346","1"
"347","0"
