"BehaviorSpace results (NetLogo 6.3.0)"
"model.nlogo"
"25000people_descriptive"
"01/07/2023 12:33:28:031 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-200","200"
"[run number]","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","10","10","10","10","10","10","10"
"scale","2",,,,,,,"2",,,,,,,"2",,,,,,,"2",,,,,,,"2",,,,,,,"2",,,,,,,"2",,,,,,,"2",,,,,,,"2",,,,,,,"2",,,,,,
"glass_bottles","true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,
"adult_fraction","80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,
"population","25000",,,,,,,"25000",,,,,,,"25000",,,,,,,"25000",,,,,,,"25000",,,,,,,"25000",,,,,,,"25000",,,,,,,"25000",,,,,,,"25000",,,,,,,"25000",,,,,,
"elderly_fraction","10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,
"slipping_chance","1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,
"people_dim","0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,
"wall-thickness","0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,
"speed_enabled","true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,
"panic_fraction","0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,
"aware_fraction","50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,
"female_fraction","50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,
"children_fraction","10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,
"real_exits","true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,
"injury_weight","0.08",,,,,,,"0.08",,,,,,,"0.08",,,,,,,"0.08",,,,,,,"0.08",,,,,,,"0.08",,,,,,,"0.08",,,,,,,"0.08",,,,,,,"0.08",,,,,,,"0.08",,,,,,
"[reporter]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]"
"[final]","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0","17232","6812","826","106","24","0","0"
"[mean]","15856.295128939828","5687.997134670487","548.567335243553","65.67908309455588","20.659025787965614","0","0","15856.295128939828","5687.997134670487","548.567335243553","65.67908309455588","20.659025787965614","0","0","15856.295128939828","5687.997134670487","548.567335243553","65.67908309455588","20.659025787965614","0","0","15856.295128939828","5687.997134670487","548.567335243553","65.67908309455588","20.659025787965614","0","0","15856.295128939828","5687.997134670487","548.567335243553","65.67908309455588","20.659025787965614","0","0","15856.295128939828","5687.997134670487","548.567335243553","65.67908309455588","20.659025787965614","0","0","15856.295128939828","5687.997134670487","548.567335243553","65.67908309455588","20.659025787965614","0","0","15856.295128939828","5687.997134670487","548.567335243553","65.67908309455588","20.659025787965614","0","0","15856.295128939828","5687.997134670487","548.567335243553","65.67908309455588","20.659025787965614","0","0","15856.295128939828","5687.997134670487","548.567335243553","65.67908309455588","20.659025787965614","0","0"
"[steps]","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348","348"

"[all run data]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"132","0","0","0","0","0","0","132","0","0","0","0","0","0","132","0","0","0","0","0","0","132","0","0","0","0","0","0","132","0","0","0","0","0","0","132","0","0","0","0","0","0","132","0","0","0","0","0","0","132","0","0","0","0","0","0","132","0","0","0","0","0","0","132","0","0","0","0","0","0"
,"308","0","0","0","0","0","0","308","0","0","0","0","0","0","308","0","0","0","0","0","0","308","0","0","0","0","0","0","308","0","0","0","0","0","0","308","0","0","0","0","0","0","308","0","0","0","0","0","0","308","0","0","0","0","0","0","308","0","0","0","0","0","0","308","0","0","0","0","0","0"
,"547","0","0","0","0","0","0","547","0","0","0","0","0","0","547","0","0","0","0","0","0","547","0","0","0","0","0","0","547","0","0","0","0","0","0","547","0","0","0","0","0","0","547","0","0","0","0","0","0","547","0","0","0","0","0","0","547","0","0","0","0","0","0","547","0","0","0","0","0","0"
,"814","0","0","0","0","0","0","814","0","0","0","0","0","0","814","0","0","0","0","0","0","814","0","0","0","0","0","0","814","0","0","0","0","0","0","814","0","0","0","0","0","0","814","0","0","0","0","0","0","814","0","0","0","0","0","0","814","0","0","0","0","0","0","814","0","0","0","0","0","0"
,"1134","0","0","0","0","0","0","1134","0","0","0","0","0","0","1134","0","0","0","0","0","0","1134","0","0","0","0","0","0","1134","0","0","0","0","0","0","1134","0","0","0","0","0","0","1134","0","0","0","0","0","0","1134","0","0","0","0","0","0","1134","0","0","0","0","0","0","1134","0","0","0","0","0","0"
,"1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0","1473","2","0","0","0","0","0"
,"1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0","1887","3","0","0","0","0","0"
,"2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0","2320","5","0","0","0","0","0"
,"2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0","2740","10","0","0","0","0","0"
,"3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0","3141","20","0","0","0","0","0"
,"3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0","3589","29","0","0","0","0","0"
,"4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0","4008","45","0","0","0","0","0"
,"4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0","4439","70","0","0","0","0","0"
,"4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0","4883","94","0","0","0","0","0"
,"5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0","5380","132","0","0","0","0","0"
