"x","evacuated"
"0","46"
"1","67"
"2","60"
"3","105"
"4","95"
"5","93"
"6","129"
"7","132"
"8","132"
"9","119"
"10","138"
"11","142"
"12","165"
"13","163"
"14","151"
"15","152"
"16","148"
"17","145"
"18","132"
"19","155"
"20","148"
"21","155"
"22","160"
"23","144"
"24","141"
"25","140"
"26","141"
"27","156"
"28","156"
"29","131"
"30","124"
"31","116"
"32","100"
"33","137"
"34","111"
"35","113"
"36","120"
"37","107"
"38","97"
"39","75"
"40","62"
"41","72"
"42","71"
"43","70"
"44","71"
"45","64"
"46","74"
"47","55"
"48","71"
"49","71"
"50","64"
"51","70"
"52","61"
"53","60"
"54","61"
"55","63"
"56","66"
"57","55"
"58","51"
"59","56"
"60","63"
"61","62"
"62","74"
"63","60"
"64","61"
"65","53"
"66","55"
"67","68"
"68","45"
"69","49"
"70","56"
"71","61"
"72","51"
"73","50"
"74","36"
"75","42"
"76","52"
"77","40"
"78","42"
"79","40"
"80","36"
"81","30"
"82","28"
"83","31"
"84","23"
"85","25"
"86","21"
"87","17"
"88","17"
"89","14"
"90","18"
"91","21"
"92","19"
"93","13"
"94","16"
"95","15"
"96","19"
"97","16"
"98","17"
"99","12"
"100","12"
"101","11"
"102","19"
"103","19"
"104","15"
"105","16"
"106","17"
"107","25"
"108","15"
"109","16"
"110","19"
"111","11"
"112","14"
"113","14"
"114","10"
"115","16"
"116","9"
"117","15"
"118","12"
"119","8"
"120","18"
"121","8"
"122","14"
"123","12"
"124","20"
"125","9"
"126","12"
"127","21"
"128","8"
"129","10"
"130","12"
"131","15"
"132","14"
"133","13"
"134","18"
"135","10"
"136","11"
"137","13"
"138","8"
"139","11"
"140","9"
"141","13"
"142","17"
"143","12"
"144","15"
"145","16"
"146","16"
"147","11"
"148","13"
"149","19"
"150","11"
"151","14"
"152","7"
"153","9"
"154","10"
"155","8"
"156","8"
"157","11"
"158","11"
"159","10"
"160","6"
"161","5"
"162","6"
"163","10"
"164","11"
"165","7"
"166","4"
"167","6"
"168","7"
"169","3"
"170","8"
"171","10"
"172","4"
"173","4"
"174","6"
"175","6"
"176","10"
"177","8"
"178","2"
"179","4"
"180","8"
"181","7"
"182","3"
"183","7"
"184","6"
"185","9"
"186","7"
"187","8"
"188","6"
"189","5"
"190","3"
"191","7"
"192","6"
"193","8"
"194","6"
"195","4"
"196","11"
"197","10"
"198","7"
"199","11"
"200","7"
"201","10"
"202","5"
"203","11"
"204","4"
"205","10"
"206","12"
"207","8"
"208","6"
"209","7"
"210","9"
"211","5"
"212","5"
"213","3"
"214","6"
"215","8"
"216","2"
"217","3"
"218","6"
"219","7"
"220","2"
"221","5"
"222","7"
"223","5"
"224","5"
"225","9"
"226","3"
"227","7"
"228","8"
"229","3"
"230","4"
"231","7"
"232","8"
"233","3"
"234","5"
"235","6"
"236","3"
"237","4"
"238","4"
"239","4"
"240","7"
"241","3"
"242","5"
"243","3"
"244","4"
"245","6"
"246","4"
"247","6"
"248","6"
"249","12"
"250","8"
"251","2"
"252","5"
"253","4"
"254","4"
"255","6"
"256","7"
"257","0"
"258","8"
"259","3"
"260","1"
"261","6"
"262","5"
"263","2"
"264","3"
"265","3"
"266","6"
"267","4"
"268","3"
"269","3"
"270","4"
"271","0"
"272","5"
"273","4"
"274","4"
"275","2"
"276","2"
"277","4"
"278","5"
"279","1"
"280","5"
"281","2"
"282","4"
"283","2"
"284","3"
"285","1"
"286","2"
"287","3"
"288","2"
"289","4"
"290","0"
"291","2"
"292","4"
"293","1"
"294","3"
"295","3"
"296","2"
"297","3"
"298","4"
"299","5"
"300","1"
"301","5"
"302","4"
"303","0"
"304","4"
"305","3"
"306","2"
"307","1"
"308","3"
"309","2"
"310","2"
"311","4"
"312","1"
"313","0"
"314","1"
"315","4"
"316","0"
"317","0"
"318","0"
"319","4"
"320","1"
"321","2"
"322","2"
"323","5"
"324","2"
"325","2"
"326","3"
"327","1"
"328","0"
"329","3"
"330","2"
"331","1"
"332","3"
"333","0"
"334","1"
"335","1"
"336","0"
"337","2"
"338","1"
"339","0"
"340","0"
"341","2"
"342","1"
"343","1"
"344","0"
"345","0"
"346","0"
"347","1"
"348","0"
"349","0"
"350","0"
"351","0"
"352","0"
"353","0"
"354","1"
"355","0"
