"export-plot data (NetLogo 6.3.0)"
"model.nlogo"
"01/10/2023 13:29:07:937 +0000"

"MODEL SETTINGS"
"scale","glass_bottles","adult_fraction","population","elderly_fraction","slipping_chance","people_dim","wall-thickness","speed_enabled","panic_fraction","aware_fraction","female_fraction","real_exits","children_fraction","injury_weight"
"2","true","80","30000","10","1","0.75","0","true","0","50","50","true","10","0.1365"

"""Evacuation Speed"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","193","true","""evacuation speed""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""evacuation speed""","true","0","1","65","347"

"""evacuation speed"""
"x","y","color","pen down?"
"0","24","65","true"
"1","40","65","true"
"2","72","65","true"
"3","73","65","true"
"4","94","65","true"
"5","97","65","true"
"6","112","65","true"
"7","116","65","true"
"8","149","65","true"
"9","132","65","true"
"10","137","65","true"
"11","132","65","true"
"12","144","65","true"
"13","138","65","true"
"14","175","65","true"
"15","158","65","true"
"16","137","65","true"
"17","171","65","true"
"18","138","65","true"
"19","131","65","true"
"20","158","65","true"
"21","131","65","true"
"22","167","65","true"
"23","137","65","true"
"24","147","65","true"
"25","145","65","true"
"26","142","65","true"
"27","187","65","true"
"28","137","65","true"
"29","167","65","true"
"30","154","65","true"
"31","153","65","true"
"32","148","65","true"
"33","115","65","true"
"34","136","65","true"
"35","98","65","true"
"36","124","65","true"
"37","112","65","true"
"38","113","65","true"
"39","100","65","true"
"40","100","65","true"
"41","83","65","true"
"42","68","65","true"
"43","56","65","true"
"44","96","65","true"
"45","88","65","true"
"46","96","65","true"
"47","70","65","true"
"48","77","65","true"
"49","64","65","true"
"50","56","65","true"
"51","72","65","true"
"52","74","65","true"
"53","74","65","true"
"54","67","65","true"
"55","83","65","true"
"56","81","65","true"
"57","62","65","true"
"58","80","65","true"
"59","84","65","true"
"60","73","65","true"
"61","86","65","true"
"62","79","65","true"
"63","69","65","true"
"64","67","65","true"
"65","63","65","true"
"66","57","65","true"
"67","54","65","true"
"68","49","65","true"
"69","54","65","true"
"70","52","65","true"
"71","47","65","true"
"72","53","65","true"
"73","40","65","true"
"74","59","65","true"
"75","58","65","true"
"76","53","65","true"
"77","53","65","true"
"78","44","65","true"
"79","42","65","true"
"80","44","65","true"
"81","37","65","true"
"82","33","65","true"
"83","30","65","true"
"84","31","65","true"
"85","28","65","true"
"86","27","65","true"
"87","20","65","true"
"88","27","65","true"
"89","23","65","true"
"90","15","65","true"
"91","19","65","true"
"92","16","65","true"
"93","22","65","true"
"94","24","65","true"
"95","19","65","true"
"96","19","65","true"
"97","14","65","true"
"98","21","65","true"
"99","15","65","true"
"100","13","65","true"
"101","16","65","true"
"102","15","65","true"
"103","19","65","true"
"104","16","65","true"
"105","22","65","true"
"106","18","65","true"
"107","13","65","true"
"108","15","65","true"
"109","7","65","true"
"110","17","65","true"
"111","20","65","true"
"112","19","65","true"
"113","9","65","true"
"114","20","65","true"
"115","16","65","true"
"116","15","65","true"
"117","14","65","true"
"118","22","65","true"
"119","13","65","true"
"120","18","65","true"
"121","14","65","true"
"122","16","65","true"
"123","19","65","true"
"124","19","65","true"
"125","11","65","true"
"126","19","65","true"
"127","18","65","true"
"128","11","65","true"
"129","10","65","true"
"130","13","65","true"
"131","7","65","true"
"132","10","65","true"
"133","14","65","true"
"134","12","65","true"
"135","12","65","true"
"136","14","65","true"
"137","13","65","true"
"138","10","65","true"
"139","8","65","true"
"140","18","65","true"
"141","12","65","true"
"142","10","65","true"
"143","11","65","true"
"144","14","65","true"
"145","6","65","true"
"146","7","65","true"
"147","11","65","true"
"148","11","65","true"
"149","6","65","true"
"150","13","65","true"
"151","12","65","true"
"152","10","65","true"
"153","13","65","true"
"154","17","65","true"
"155","17","65","true"
"156","12","65","true"
"157","8","65","true"
"158","6","65","true"
"159","12","65","true"
"160","4","65","true"
"161","12","65","true"
"162","16","65","true"
"163","5","65","true"
"164","11","65","true"
"165","8","65","true"
"166","9","65","true"
"167","8","65","true"
"168","8","65","true"
"169","6","65","true"
"170","4","65","true"
"171","8","65","true"
"172","9","65","true"
"173","6","65","true"
"174","5","65","true"
"175","1","65","true"
"176","5","65","true"
"177","4","65","true"
"178","3","65","true"
"179","7","65","true"
"180","4","65","true"
"181","7","65","true"
"182","3","65","true"
"183","7","65","true"
"184","9","65","true"
"185","8","65","true"
"186","7","65","true"
"187","8","65","true"
"188","7","65","true"
"189","3","65","true"
"190","9","65","true"
"191","3","65","true"
"192","7","65","true"
"193","5","65","true"
"194","2","65","true"
"195","7","65","true"
"196","9","65","true"
"197","8","65","true"
"198","0","65","true"
"199","2","65","true"
"200","5","65","true"
"201","6","65","true"
"202","2","65","true"
"203","6","65","true"
"204","5","65","true"
"205","4","65","true"
"206","8","65","true"
"207","6","65","true"
"208","5","65","true"
"209","1","65","true"
"210","3","65","true"
"211","11","65","true"
"212","9","65","true"
"213","4","65","true"
"214","6","65","true"
"215","4","65","true"
"216","4","65","true"
"217","2","65","true"
"218","4","65","true"
"219","5","65","true"
"220","7","65","true"
"221","6","65","true"
"222","5","65","true"
"223","6","65","true"
"224","2","65","true"
"225","4","65","true"
"226","2","65","true"
"227","3","65","true"
"228","3","65","true"
"229","5","65","true"
"230","2","65","true"
"231","2","65","true"
"232","2","65","true"
"233","5","65","true"
"234","5","65","true"
"235","7","65","true"
"236","3","65","true"
"237","4","65","true"
"238","2","65","true"
"239","4","65","true"
"240","4","65","true"
"241","2","65","true"
"242","4","65","true"
"243","3","65","true"
"244","3","65","true"
"245","3","65","true"
"246","2","65","true"
"247","5","65","true"
"248","4","65","true"
"249","6","65","true"
"250","1","65","true"
"251","4","65","true"
"252","2","65","true"
"253","2","65","true"
"254","3","65","true"
"255","4","65","true"
"256","2","65","true"
"257","3","65","true"
"258","5","65","true"
"259","3","65","true"
"260","3","65","true"
"261","2","65","true"
"262","2","65","true"
"263","2","65","true"
"264","2","65","true"
"265","6","65","true"
"266","3","65","true"
"267","3","65","true"
"268","3","65","true"
"269","4","65","true"
"270","4","65","true"
"271","5","65","true"
"272","2","65","true"
"273","3","65","true"
"274","1","65","true"
"275","8","65","true"
"276","4","65","true"
"277","3","65","true"
"278","5","65","true"
"279","3","65","true"
"280","3","65","true"
"281","6","65","true"
"282","5","65","true"
"283","5","65","true"
"284","2","65","true"
"285","5","65","true"
"286","4","65","true"
"287","3","65","true"
"288","3","65","true"
"289","2","65","true"
"290","3","65","true"
"291","4","65","true"
"292","4","65","true"
"293","3","65","true"
"294","2","65","true"
"295","5","65","true"
"296","5","65","true"
"297","3","65","true"
"298","1","65","true"
"299","2","65","true"
"300","3","65","true"
"301","3","65","true"
"302","2","65","true"
"303","1","65","true"
"304","1","65","true"
"305","1","65","true"
"306","5","65","true"
"307","0","65","true"
"308","3","65","true"
"309","4","65","true"
"310","2","65","true"
"311","2","65","true"
"312","3","65","true"
"313","3","65","true"
"314","1","65","true"
"315","6","65","true"
"316","1","65","true"
"317","0","65","true"
"318","2","65","true"
"319","2","65","true"
"320","2","65","true"
"321","4","65","true"
"322","0","65","true"
"323","3","65","true"
"324","2","65","true"
"325","3","65","true"
"326","3","65","true"
"327","3","65","true"
"328","2","65","true"
"329","6","65","true"
"330","2","65","true"
"331","0","65","true"
"332","1","65","true"
"333","1","65","true"
"334","5","65","true"
"335","0","65","true"
"336","0","65","true"
"337","0","65","true"
"338","1","65","true"
"339","1","65","true"
"340","2","65","true"
"341","2","65","true"
"342","0","65","true"
"343","1","65","true"
"344","0","65","true"
"345","1","65","true"
"346","1","65","true"
"347","0","65","true"
