"export-plot data (NetLogo 6.3.0)"
"model.nlogo"
"01/10/2023 13:29:01:811 +0000"

"MODEL SETTINGS"
"scale","wall-thickness","population","aware_fraction","panic_fraction","people_dim","speed_enabled","injury_weight","real_exits","glass_bottles","slipping_chance","female_fraction","elderly_fraction","children_fraction","adult_fraction"
"2","0","30000","50","0","0.75","true","0.1365","true","true","1","50","10","10","80"

"""Evacuation Speed"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","164","true","""evacuation speed""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""evacuation speed""","true","0","1","65","351"

"""evacuation speed"""
"x","y","color","pen down?"
"0","31","65","true"
"1","42","65","true"
"2","59","65","true"
"3","91","65","true"
"4","87","65","true"
"5","107","65","true"
"6","132","65","true"
"7","124","65","true"
"8","125","65","true"
"9","129","65","true"
"10","149","65","true"
"11","160","65","true"
"12","128","65","true"
"13","127","65","true"
"14","149","65","true"
"15","136","65","true"
"16","128","65","true"
"17","153","65","true"
"18","157","65","true"
"19","137","65","true"
"20","138","65","true"
"21","137","65","true"
"22","150","65","true"
"23","160","65","true"
"24","153","65","true"
"25","148","65","true"
"26","163","65","true"
"27","143","65","true"
"28","141","65","true"
"29","142","65","true"
"30","141","65","true"
"31","142","65","true"
"32","129","65","true"
"33","128","65","true"
"34","123","65","true"
"35","111","65","true"
"36","118","65","true"
"37","115","65","true"
"38","116","65","true"
"39","95","65","true"
"40","95","65","true"
"41","87","65","true"
"42","78","65","true"
"43","96","65","true"
"44","71","65","true"
"45","72","65","true"
"46","67","65","true"
"47","86","65","true"
"48","66","65","true"
"49","64","65","true"
"50","86","65","true"
"51","76","65","true"
"52","82","65","true"
"53","66","65","true"
"54","78","65","true"
"55","73","65","true"
"56","80","65","true"
"57","69","65","true"
"58","68","65","true"
"59","71","65","true"
"60","85","65","true"
"61","70","65","true"
"62","54","65","true"
"63","69","65","true"
"64","66","65","true"
"65","72","65","true"
"66","71","65","true"
"67","47","65","true"
"68","63","65","true"
"69","57","65","true"
"70","64","65","true"
"71","59","65","true"
"72","43","65","true"
"73","48","65","true"
"74","57","65","true"
"75","41","65","true"
"76","51","65","true"
"77","40","65","true"
"78","44","65","true"
"79","35","65","true"
"80","44","65","true"
"81","34","65","true"
"82","38","65","true"
"83","33","65","true"
"84","23","65","true"
"85","31","65","true"
"86","23","65","true"
"87","17","65","true"
"88","14","65","true"
"89","28","65","true"
"90","27","65","true"
"91","18","65","true"
"92","19","65","true"
"93","22","65","true"
"94","23","65","true"
"95","18","65","true"
"96","15","65","true"
"97","22","65","true"
"98","17","65","true"
"99","18","65","true"
"100","23","65","true"
"101","24","65","true"
"102","14","65","true"
"103","23","65","true"
"104","18","65","true"
"105","18","65","true"
"106","25","65","true"
"107","22","65","true"
"108","21","65","true"
"109","28","65","true"
"110","14","65","true"
"111","17","65","true"
"112","17","65","true"
"113","18","65","true"
"114","13","65","true"
"115","14","65","true"
"116","17","65","true"
"117","13","65","true"
"118","12","65","true"
"119","14","65","true"
"120","13","65","true"
"121","17","65","true"
"122","17","65","true"
"123","15","65","true"
"124","22","65","true"
"125","15","65","true"
"126","12","65","true"
"127","14","65","true"
"128","21","65","true"
"129","18","65","true"
"130","7","65","true"
"131","15","65","true"
"132","12","65","true"
"133","15","65","true"
"134","18","65","true"
"135","15","65","true"
"136","11","65","true"
"137","9","65","true"
"138","17","65","true"
"139","11","65","true"
"140","12","65","true"
"141","12","65","true"
"142","9","65","true"
"143","21","65","true"
"144","11","65","true"
"145","14","65","true"
"146","10","65","true"
"147","14","65","true"
"148","21","65","true"
"149","13","65","true"
"150","14","65","true"
"151","11","65","true"
"152","10","65","true"
"153","14","65","true"
"154","16","65","true"
"155","14","65","true"
"156","4","65","true"
"157","14","65","true"
"158","7","65","true"
"159","11","65","true"
"160","8","65","true"
"161","10","65","true"
"162","12","65","true"
"163","6","65","true"
"164","8","65","true"
"165","9","65","true"
"166","5","65","true"
"167","8","65","true"
"168","5","65","true"
"169","3","65","true"
"170","7","65","true"
"171","8","65","true"
"172","13","65","true"
"173","7","65","true"
"174","7","65","true"
"175","10","65","true"
"176","6","65","true"
"177","10","65","true"
"178","12","65","true"
"179","5","65","true"
"180","6","65","true"
"181","5","65","true"
"182","6","65","true"
"183","6","65","true"
"184","5","65","true"
"185","8","65","true"
"186","5","65","true"
"187","4","65","true"
"188","7","65","true"
"189","4","65","true"
"190","5","65","true"
"191","6","65","true"
"192","1","65","true"
"193","6","65","true"
"194","7","65","true"
"195","7","65","true"
"196","3","65","true"
"197","5","65","true"
"198","5","65","true"
"199","12","65","true"
"200","7","65","true"
"201","4","65","true"
"202","3","65","true"
"203","6","65","true"
"204","4","65","true"
"205","7","65","true"
"206","5","65","true"
"207","5","65","true"
"208","5","65","true"
"209","5","65","true"
"210","7","65","true"
"211","8","65","true"
"212","5","65","true"
"213","3","65","true"
"214","2","65","true"
"215","3","65","true"
"216","6","65","true"
"217","4","65","true"
"218","6","65","true"
"219","2","65","true"
"220","4","65","true"
"221","7","65","true"
"222","3","65","true"
"223","6","65","true"
"224","8","65","true"
"225","2","65","true"
"226","6","65","true"
"227","7","65","true"
"228","2","65","true"
"229","3","65","true"
"230","9","65","true"
"231","5","65","true"
"232","6","65","true"
"233","4","65","true"
"234","4","65","true"
"235","5","65","true"
"236","7","65","true"
"237","3","65","true"
"238","5","65","true"
"239","5","65","true"
"240","4","65","true"
"241","7","65","true"
"242","8","65","true"
"243","2","65","true"
"244","3","65","true"
"245","1","65","true"
"246","7","65","true"
"247","9","65","true"
"248","6","65","true"
"249","7","65","true"
"250","4","65","true"
"251","4","65","true"
"252","2","65","true"
"253","3","65","true"
"254","4","65","true"
"255","3","65","true"
"256","6","65","true"
"257","5","65","true"
"258","2","65","true"
"259","3","65","true"
"260","5","65","true"
"261","3","65","true"
"262","1","65","true"
"263","3","65","true"
"264","7","65","true"
"265","7","65","true"
"266","7","65","true"
"267","8","65","true"
"268","7","65","true"
"269","5","65","true"
"270","3","65","true"
"271","5","65","true"
"272","4","65","true"
"273","6","65","true"
"274","7","65","true"
"275","8","65","true"
"276","3","65","true"
"277","5","65","true"
"278","5","65","true"
"279","5","65","true"
"280","3","65","true"
"281","3","65","true"
"282","4","65","true"
"283","4","65","true"
"284","2","65","true"
"285","6","65","true"
"286","6","65","true"
"287","1","65","true"
"288","6","65","true"
"289","4","65","true"
"290","6","65","true"
"291","4","65","true"
"292","5","65","true"
"293","3","65","true"
"294","3","65","true"
"295","2","65","true"
"296","4","65","true"
"297","4","65","true"
"298","4","65","true"
"299","5","65","true"
"300","4","65","true"
"301","4","65","true"
"302","4","65","true"
"303","1","65","true"
"304","2","65","true"
"305","3","65","true"
"306","5","65","true"
"307","1","65","true"
"308","3","65","true"
"309","3","65","true"
"310","2","65","true"
"311","3","65","true"
"312","4","65","true"
"313","5","65","true"
"314","3","65","true"
"315","4","65","true"
"316","4","65","true"
"317","3","65","true"
"318","1","65","true"
"319","2","65","true"
"320","4","65","true"
"321","7","65","true"
"322","2","65","true"
"323","3","65","true"
"324","4","65","true"
"325","3","65","true"
"326","4","65","true"
"327","2","65","true"
"328","2","65","true"
"329","2","65","true"
"330","2","65","true"
"331","2","65","true"
"332","3","65","true"
"333","4","65","true"
"334","1","65","true"
"335","2","65","true"
"336","3","65","true"
"337","2","65","true"
"338","2","65","true"
"339","2","65","true"
"340","2","65","true"
"341","1","65","true"
"342","3","65","true"
"343","1","65","true"
"344","4","65","true"
"345","3","65","true"
"346","1","65","true"
"347","1","65","true"
"348","1","65","true"
"349","1","65","true"
"350","2","65","true"
"351","1","65","true"
