"x","y"
"0","47"
"1","50"
"2","80"
"3","83"
"4","104"
"5","117"
"6","128"
"7","128"
"8","146"
"9","139"
"10","126"
"11","143"
"12","118"
"13","144"
"14","171"
"15","178"
"16","166"
"17","152"
"18","147"
"19","148"
"20","180"
"21","152"
"22","182"
"23","184"
"24","150"
"25","169"
"26","142"
"27","171"
"28","143"
"29","168"
"30","124"
"31","131"
"32","131"
"33","138"
"34","115"
"35","131"
"36","115"
"37","107"
"38","100"
"39","80"
"40","82"
"41","73"
"42","85"
"43","71"
"44","103"
"45","62"
"46","80"
"47","74"
"48","79"
"49","77"
"50","58"
"51","73"
"52","65"
"53","76"
"54","51"
"55","71"
"56","61"
"57","66"
"58","62"
"59","63"
"60","73"
"61","71"
"62","64"
"63","92"
"64","69"
"65","66"
"66","64"
"67","55"
"68","74"
"69","69"
"70","46"
"71","53"
"72","46"
"73","52"
"74","48"
"75","57"
"76","43"
"77","51"
"78","38"
"79","37"
"80","47"
"81","30"
"82","30"
"83","31"
"84","16"
"85","29"
"86","22"
"87","28"
"88","14"
"89","23"
"90","22"
"91","28"
"92","13"
"93","17"
"94","23"
"95","22"
"96","12"
"97","19"
"98","19"
"99","11"
"100","16"
"101","18"
"102","23"
"103","15"
"104","19"
"105","16"
"106","14"
"107","17"
"108","14"
"109","17"
"110","13"
"111","20"
"112","17"
"113","16"
"114","15"
"115","14"
"116","13"
"117","16"
"118","16"
"119","11"
"120","15"
"121","13"
"122","15"
"123","23"
"124","14"
"125","19"
"126","22"
"127","15"
"128","12"
"129","7"
"130","20"
"131","15"
"132","17"
"133","22"
"134","13"
"135","11"
"136","16"
"137","14"
"138","21"
"139","17"
"140","16"
"141","18"
"142","24"
"143","18"
"144","16"
"145","14"
"146","13"
"147","11"
"148","12"
"149","18"
"150","17"
"151","16"
"152","11"
"153","6"
"154","12"
"155","9"
"156","11"
"157","9"
"158","10"
"159","10"
"160","11"
"161","9"
"162","12"
"163","12"
"164","10"
"165","6"
"166","6"
"167","12"
"168","6"
"169","9"
"170","6"
"171","8"
"172","9"
"173","9"
"174","5"
"175","8"
"176","7"
"177","9"
"178","7"
"179","10"
"180","8"
"181","5"
"182","10"
"183","8"
"184","5"
"185","7"
"186","10"
"187","11"
"188","6"
"189","7"
"190","7"
"191","5"
"192","4"
"193","6"
"194","5"
"195","4"
"196","5"
"197","7"
"198","7"
"199","5"
"200","7"
"201","8"
"202","7"
"203","5"
"204","5"
"205","7"
"206","8"
"207","5"
"208","5"
"209","5"
"210","6"
"211","6"
"212","4"
"213","7"
"214","9"
"215","9"
"216","7"
"217","6"
"218","5"
"219","7"
"220","5"
"221","7"
"222","4"
"223","5"
"224","9"
"225","8"
"226","5"
"227","8"
"228","4"
"229","7"
"230","6"
"231","4"
"232","5"
"233","8"
"234","4"
"235","5"
"236","11"
"237","7"
"238","3"
"239","7"
"240","4"
"241","9"
"242","5"
"243","4"
"244","5"
"245","5"
"246","6"
"247","5"
"248","7"
"249","6"
"250","10"
"251","7"
"252","6"
"253","6"
"254","5"
"255","4"
"256","6"
"257","5"
"258","6"
"259","7"
"260","7"
"261","5"
"262","5"
"263","5"
"264","6"
"265","6"
"266","3"
"267","4"
"268","4"
"269","3"
"270","6"
"271","4"
"272","5"
"273","4"
"274","5"
"275","7"
"276","6"
"277","8"
"278","5"
"279","9"
"280","6"
"281","5"
"282","3"
"283","5"
"284","7"
"285","6"
"286","4"
"287","6"
"288","5"
"289","6"
"290","6"
"291","6"
"292","7"
"293","6"
"294","5"
"295","4"
"296","6"
"297","5"
"298","5"
"299","4"
"300","3"
"301","5"
"302","7"
"303","5"
"304","6"
"305","6"
"306","5"
"307","3"
"308","6"
"309","9"
"310","7"
"311","5"
"312","4"
"313","4"
"314","5"
"315","6"
"316","5"
"317","5"
"318","4"
"319","9"
"320","8"
"321","4"
"322","5"
"323","4"
"324","4"
"325","5"
"326","4"
"327","5"
"328","4"
"329","5"
"330","3"
"331","6"
"332","4"
"333","3"
"334","5"
"335","3"
"336","4"
"337","5"
"338","4"
"339","4"
"340","3"
"341","3"
"342","4"
"343","3"
"344","4"
"345","4"
"346","3"
"347","4"
"348","3"
"349","3"
"350","4"
"351","3"
