"x","y"
"0","45"
"1","59"
"2","66"
"3","80"
"4","97"
"5","99"
"6","102"
"7","142"
"8","119"
"9","122"
"10","141"
"11","145"
"12","130"
"13","146"
"14","139"
"15","154"
"16","149"
"17","138"
"18","129"
"19","126"
"20","135"
"21","117"
"22","166"
"23","149"
"24","126"
"25","127"
"26","127"
"27","125"
"28","149"
"29","144"
"30","123"
"31","99"
"32","104"
"33","103"
"34","104"
"35","97"
"36","108"
"37","82"
"38","81"
"39","64"
"40","67"
"41","77"
"42","73"
"43","58"
"44","72"
"45","72"
"46","67"
"47","66"
"48","66"
"49","73"
"50","57"
"51","56"
"52","60"
"53","56"
"54","52"
"55","60"
"56","53"
"57","48"
"58","71"
"59","59"
"60","66"
"61","63"
"62","58"
"63","44"
"64","54"
"65","36"
"66","59"
"67","43"
"68","45"
"69","51"
"70","42"
"71","42"
"72","47"
"73","38"
"74","42"
"75","44"
"76","28"
"77","24"
"78","26"
"79","27"
"80","35"
"81","11"
"82","21"
"83","27"
"84","17"
"85","12"
"86","20"
"87","10"
"88","13"
"89","15"
"90","14"
"91","10"
"92","12"
"93","15"
"94","12"
"95","10"
"96","22"
"97","14"
"98","19"
"99","17"
"100","12"
"101","14"
"102","12"
"103","14"
"104","20"
"105","17"
"106","14"
"107","18"
"108","9"
"109","11"
"110","11"
"111","6"
"112","9"
"113","10"
"114","11"
"115","13"
"116","7"
"117","11"
"118","16"
"119","13"
"120","12"
"121","12"
"122","17"
"123","14"
"124","9"
"125","7"
"126","10"
"127","18"
"128","17"
"129","22"
"130","13"
"131","14"
"132","18"
"133","15"
"134","17"
"135","12"
"136","15"
"137","20"
"138","11"
"139","12"
"140","11"
"141","7"
"142","9"
"143","7"
"144","14"
"145","6"
"146","15"
"147","14"
"148","10"
"149","10"
"150","10"
"151","12"
"152","9"
"153","5"
"154","13"
"155","9"
"156","9"
"157","11"
"158","10"
"159","5"
"160","7"
"161","9"
"162","2"
"163","6"
"164","10"
"165","4"
"166","3"
"167","2"
"168","4"
"169","5"
"170","6"
"171","2"
"172","4"
"173","2"
"174","4"
"175","2"
"176","2"
"177","0"
"178","6"
"179","5"
"180","5"
"181","2"
"182","2"
"183","5"
"184","3"
"185","1"
"186","2"
"187","4"
"188","3"
"189","7"
"190","2"
"191","5"
"192","2"
"193","4"
"194","1"
"195","0"
"196","5"
"197","4"
"198","2"
"199","1"
"200","1"
"201","1"
"202","3"
"203","0"
"204","4"
"205","2"
"206","2"
"207","3"
"208","4"
"209","2"
"210","1"
"211","3"
"212","4"
"213","4"
"214","0"
"215","7"
"216","2"
"217","1"
"218","0"
"219","2"
"220","2"
"221","1"
"222","4"
"223","4"
"224","2"
"225","2"
"226","0"
"227","4"
"228","2"
"229","2"
"230","2"
"231","1"
"232","2"
"233","5"
"234","1"
"235","3"
"236","1"
"237","4"
"238","3"
"239","1"
"240","5"
"241","0"
"242","3"
"243","2"
"244","3"
"245","2"
"246","4"
"247","3"
"248","1"
"249","2"
"250","3"
"251","3"
"252","4"
"253","1"
"254","3"
"255","3"
"256","2"
"257","1"
"258","3"
"259","1"
"260","2"
"261","5"
"262","8"
"263","2"
"264","1"
"265","4"
"266","3"
"267","2"
"268","1"
"269","2"
"270","3"
"271","0"
"272","4"
"273","2"
"274","1"
"275","4"
"276","4"
"277","1"
"278","1"
"279","5"
"280","4"
"281","1"
"282","4"
"283","3"
"284","7"
"285","2"
"286","0"
"287","5"
"288","4"
"289","1"
"290","0"
"291","0"
"292","1"
"293","0"
"294","3"
"295","3"
"296","3"
"297","3"
"298","2"
"299","0"
"300","0"
"301","0"
"302","3"
"303","0"
"304","3"
"305","3"
"306","2"
"307","5"
"308","1"
"309","5"
"310","2"
"311","2"
"312","2"
"313","3"
"314","5"
"315","3"
"316","3"
"317","2"
"318","3"
"319","2"
"320","2"
"321","2"
"322","2"
"323","0"
"324","1"
"325","3"
"326","0"
"327","1"
"328","1"
"329","3"
"330","1"
"331","0"
"332","2"
"333","0"
"334","1"
"335","1"
"336","1"
"337","3"
"338","0"
"339","0"
"340","1"
"341","0"
"342","0"
"343","0"
"344","0"
"345","0"
"346","0"
"347","0"
"348","0"
"349","0"
"350","0"
"351","0"
"352","0"
"353","1"
"354","0"
