"export-plot data (NetLogo 6.3.0)"
"model.nlogo"
"01/11/2023 20:35:39:131 +0000"

"MODEL SETTINGS"
"scale","glass_bottles","adult_fraction","population","elderly_fraction","slipping_chance","people_dim","wall-thickness","speed_enabled","panic_fraction","aware_fraction","female_fraction","children_fraction","real_exits","injury_weight"
"2","true","80","30000","10","1","0.75","0","true","0","50","50","10","true","0.1365"

"""Evacuation Speed"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","194","true","""evacuation speed""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""evacuation speed""","true","0","1","65","347"

"""evacuation speed"""
"x","y","color","pen down?"
"0","34","65","true"
"1","52","65","true"
"2","69","65","true"
"3","72","65","true"
"4","86","65","true"
"5","95","65","true"
"6","128","65","true"
"7","132","65","true"
"8","119","65","true"
"9","159","65","true"
"10","117","65","true"
"11","149","65","true"
"12","127","65","true"
"13","126","65","true"
"14","154","65","true"
"15","174","65","true"
"16","142","65","true"
"17","160","65","true"
"18","125","65","true"
"19","167","65","true"
"20","174","65","true"
"21","147","65","true"
"22","133","65","true"
"23","149","65","true"
"24","142","65","true"
"25","140","65","true"
"26","176","65","true"
"27","173","65","true"
"28","146","65","true"
"29","158","65","true"
"30","150","65","true"
"31","132","65","true"
"32","128","65","true"
"33","133","65","true"
"34","125","65","true"
"35","127","65","true"
"36","124","65","true"
"37","105","65","true"
"38","110","65","true"
"39","113","65","true"
"40","89","65","true"
"41","71","65","true"
"42","91","65","true"
"43","71","65","true"
"44","94","65","true"
"45","85","65","true"
"46","81","65","true"
"47","79","65","true"
"48","85","65","true"
"49","65","65","true"
"50","95","65","true"
"51","94","65","true"
"52","69","65","true"
"53","64","65","true"
"54","71","65","true"
"55","70","65","true"
"56","72","65","true"
"57","71","65","true"
"58","86","65","true"
"59","74","65","true"
"60","73","65","true"
"61","72","65","true"
"62","99","65","true"
"63","73","65","true"
"64","75","65","true"
"65","56","65","true"
"66","51","65","true"
"67","66","65","true"
"68","52","65","true"
"69","61","65","true"
"70","54","65","true"
"71","47","65","true"
"72","55","65","true"
"73","47","65","true"
"74","50","65","true"
"75","48","65","true"
"76","48","65","true"
"77","55","65","true"
"78","39","65","true"
"79","36","65","true"
"80","42","65","true"
"81","32","65","true"
