"export-plot data (NetLogo 6.3.0)"
"model.nlogo"
"01/11/2023 20:35:34:874 +0000"

"MODEL SETTINGS"
"scale","wall-thickness","population","aware_fraction","panic_fraction","people_dim","speed_enabled","injury_weight","real_exits","glass_bottles","slipping_chance","female_fraction","elderly_fraction","children_fraction","adult_fraction"
"2","0","30000","50","0","0.75","true","0.1365","true","true","1","50","10","10","80"

"""Evacuation Speed"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","184","true","""evacuation speed""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""evacuation speed""","true","0","1","65","347"

"""evacuation speed"""
"x","y","color","pen down?"
"0","27","65","true"
"1","58","65","true"
"2","68","65","true"
"3","76","65","true"
"4","86","65","true"
"5","110","65","true"
"6","110","65","true"
"7","115","65","true"
"8","120","65","true"
"9","129","65","true"
"10","127","65","true"
"11","134","65","true"
"12","144","65","true"
"13","144","65","true"
"14","167","65","true"
"15","148","65","true"
"16","137","65","true"
"17","168","65","true"
"18","139","65","true"
"19","147","65","true"
"20","139","65","true"
"21","130","65","true"
"22","151","65","true"
"23","150","65","true"
"24","159","65","true"
"25","170","65","true"
"26","149","65","true"
"27","168","65","true"
"28","169","65","true"
"29","155","65","true"
"30","150","65","true"
"31","135","65","true"
"32","120","65","true"
"33","134","65","true"
"34","132","65","true"
"35","114","65","true"
"36","117","65","true"
"37","126","65","true"
"38","109","65","true"
"39","97","65","true"
"40","99","65","true"
"41","92","65","true"
"42","71","65","true"
"43","76","65","true"
"44","85","65","true"
"45","97","65","true"
"46","77","65","true"
"47","85","65","true"
"48","90","65","true"
"49","90","65","true"
"50","68","65","true"
"51","73","65","true"
"52","87","65","true"
"53","91","65","true"
"54","75","65","true"
"55","78","65","true"
"56","79","65","true"
"57","76","65","true"
"58","56","65","true"
"59","91","65","true"
"60","77","65","true"
"61","71","65","true"
"62","70","65","true"
"63","75","65","true"
"64","73","65","true"
"65","56","65","true"
"66","40","65","true"
"67","52","65","true"
"68","63","65","true"
"69","64","65","true"
"70","53","65","true"
"71","66","65","true"
"72","68","65","true"
"73","47","65","true"
"74","65","65","true"
"75","48","65","true"
"76","46","65","true"
"77","51","65","true"
"78","54","65","true"
"79","50","65","true"
"80","31","65","true"
"81","38","65","true"
"82","43","65","true"
"83","36","65","true"
"84","34","65","true"
"85","28","65","true"
"86","35","65","true"
"87","31","65","true"
"88","26","65","true"
"89","22","65","true"
"90","28","65","true"
"91","24","65","true"
"92","25","65","true"
"93","22","65","true"
"94","26","65","true"
"95","22","65","true"
"96","19","65","true"
"97","27","65","true"
"98","25","65","true"
"99","23","65","true"
"100","16","65","true"
"101","22","65","true"
"102","18","65","true"
"103","20","65","true"
"104","26","65","true"
"105","12","65","true"
"106","22","65","true"
"107","7","65","true"
"108","11","65","true"
"109","17","65","true"
"110","18","65","true"
"111","17","65","true"
"112","21","65","true"
"113","20","65","true"
"114","15","65","true"
"115","16","65","true"
"116","18","65","true"
"117","16","65","true"
"118","13","65","true"
"119","14","65","true"
"120","12","65","true"
"121","14","65","true"
"122","13","65","true"
"123","16","65","true"
"124","14","65","true"
"125","16","65","true"
"126","21","65","true"
"127","18","65","true"
"128","14","65","true"
"129","18","65","true"
"130","16","65","true"
"131","16","65","true"
"132","19","65","true"
"133","14","65","true"
"134","10","65","true"
"135","12","65","true"
"136","11","65","true"
"137","16","65","true"
"138","18","65","true"
"139","13","65","true"
"140","10","65","true"
"141","13","65","true"
"142","13","65","true"
"143","10","65","true"
"144","20","65","true"
"145","16","65","true"
"146","12","65","true"
"147","14","65","true"
"148","13","65","true"
"149","12","65","true"
"150","14","65","true"
"151","10","65","true"
"152","15","65","true"
"153","13","65","true"
"154","17","65","true"
"155","12","65","true"
"156","12","65","true"
"157","15","65","true"
"158","16","65","true"
"159","12","65","true"
"160","9","65","true"
"161","8","65","true"
"162","8","65","true"
"163","9","65","true"
"164","10","65","true"
"165","8","65","true"
"166","13","65","true"
"167","5","65","true"
"168","13","65","true"
"169","8","65","true"
"170","4","65","true"
"171","10","65","true"
"172","8","65","true"
"173","8","65","true"
"174","9","65","true"
"175","16","65","true"
"176","9","65","true"
"177","11","65","true"
"178","12","65","true"
"179","7","65","true"
"180","11","65","true"
"181","7","65","true"
"182","9","65","true"
"183","11","65","true"
"184","3","65","true"
"185","4","65","true"
"186","8","65","true"
"187","6","65","true"
"188","9","65","true"
"189","10","65","true"
"190","10","65","true"
"191","8","65","true"
"192","10","65","true"
"193","9","65","true"
"194","4","65","true"
"195","5","65","true"
"196","12","65","true"
"197","6","65","true"
"198","6","65","true"
"199","5","65","true"
"200","9","65","true"
"201","5","65","true"
"202","6","65","true"
"203","4","65","true"
"204","6","65","true"
"205","6","65","true"
"206","6","65","true"
"207","7","65","true"
"208","6","65","true"
"209","3","65","true"
"210","5","65","true"
"211","4","65","true"
"212","9","65","true"
"213","5","65","true"
"214","7","65","true"
"215","5","65","true"
"216","6","65","true"
"217","4","65","true"
"218","4","65","true"
"219","6","65","true"
"220","9","65","true"
"221","7","65","true"
"222","9","65","true"
"223","5","65","true"
"224","4","65","true"
"225","8","65","true"
"226","4","65","true"
"227","4","65","true"
"228","4","65","true"
"229","6","65","true"
"230","12","65","true"
"231","4","65","true"
"232","5","65","true"
"233","7","65","true"
"234","8","65","true"
"235","5","65","true"
"236","7","65","true"
"237","4","65","true"
"238","5","65","true"
"239","4","65","true"
"240","7","65","true"
"241","11","65","true"
"242","6","65","true"
"243","6","65","true"
"244","10","65","true"
"245","7","65","true"
"246","7","65","true"
"247","5","65","true"
"248","4","65","true"
"249","10","65","true"
"250","6","65","true"
"251","5","65","true"
"252","5","65","true"
"253","4","65","true"
"254","7","65","true"
"255","4","65","true"
"256","6","65","true"
"257","3","65","true"
"258","6","65","true"
"259","4","65","true"
"260","4","65","true"
"261","6","65","true"
"262","6","65","true"
"263","4","65","true"
"264","5","65","true"
"265","7","65","true"
"266","4","65","true"
"267","4","65","true"
"268","5","65","true"
"269","3","65","true"
"270","3","65","true"
"271","6","65","true"
"272","4","65","true"
"273","10","65","true"
"274","5","65","true"
"275","6","65","true"
"276","2","65","true"
"277","6","65","true"
"278","4","65","true"
"279","3","65","true"
"280","5","65","true"
"281","7","65","true"
"282","4","65","true"
"283","6","65","true"
"284","7","65","true"
"285","6","65","true"
"286","3","65","true"
"287","8","65","true"
