"export-plot data (NetLogo 6.3.0)"
"model.nlogo"
"01/11/2023 20:35:35:452 +0000"

"MODEL SETTINGS"
"scale","wall-thickness","population","aware_fraction","panic_fraction","people_dim","speed_enabled","injury_weight","real_exits","glass_bottles","slipping_chance","female_fraction","elderly_fraction","children_fraction","adult_fraction"
"2","0","30000","50","0","0.75","true","0.1365","false","true","1","50","10","10","80"

"""Evacuation Speed"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","200","true","""evacuation speed""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""evacuation speed""","true","0","1","65","355"

"""evacuation speed"""
"x","y","color","pen down?"
"0","38","65","true"
"1","49","65","true"
"2","78","65","true"
"3","77","65","true"
"4","123","65","true"
"5","138","65","true"
"6","137","65","true"
"7","161","65","true"
"8","138","65","true"
"9","157","65","true"
"10","127","65","true"
"11","133","65","true"
"12","143","65","true"
"13","125","65","true"
"14","165","65","true"
"15","137","65","true"
"16","147","65","true"
"17","160","65","true"
"18","127","65","true"
"19","149","65","true"
"20","156","65","true"
"21","128","65","true"
"22","140","65","true"
"23","163","65","true"
"24","136","65","true"
"25","167","65","true"
"26","159","65","true"
"27","167","65","true"
"28","182","65","true"
"29","170","65","true"
"30","152","65","true"
"31","137","65","true"
"32","120","65","true"
"33","129","65","true"
"34","121","65","true"
"35","112","65","true"
"36","117","65","true"
"37","99","65","true"
"38","110","65","true"
"39","85","65","true"
"40","86","65","true"
"41","109","65","true"
"42","91","65","true"
"43","86","65","true"
"44","68","65","true"
"45","59","65","true"
"46","65","65","true"
"47","56","65","true"
"48","66","65","true"
"49","75","65","true"
"50","63","65","true"
"51","58","65","true"
"52","73","65","true"
"53","74","65","true"
"54","65","65","true"
"55","81","65","true"
"56","68","65","true"
"57","85","65","true"
"58","75","65","true"
"59","85","65","true"
"60","78","65","true"
"61","68","65","true"
"62","66","65","true"
"63","63","65","true"
"64","55","65","true"
"65","68","65","true"
"66","51","65","true"
"67","46","65","true"
"68","52","65","true"
"69","48","65","true"
"70","43","65","true"
"71","43","65","true"
"72","52","65","true"
"73","46","65","true"
"74","42","65","true"
"75","53","65","true"
"76","47","65","true"
"77","42","65","true"
"78","50","65","true"
"79","44","65","true"
"80","27","65","true"
"81","49","65","true"
"82","18","65","true"
"83","36","65","true"
"84","25","65","true"
"85","24","65","true"
"86","24","65","true"
"87","14","65","true"
"88","29","65","true"
"89","12","65","true"
"90","14","65","true"
"91","13","65","true"
"92","13","65","true"
"93","19","65","true"
"94","19","65","true"
"95","14","65","true"
"96","19","65","true"
"97","20","65","true"
"98","15","65","true"
"99","17","65","true"
"100","29","65","true"
"101","9","65","true"
"102","14","65","true"
"103","11","65","true"
"104","20","65","true"
"105","24","65","true"
"106","12","65","true"
"107","13","65","true"
"108","21","65","true"
"109","19","65","true"
"110","17","65","true"
"111","9","65","true"
"112","15","65","true"
"113","15","65","true"
"114","15","65","true"
"115","18","65","true"
"116","16","65","true"
"117","18","65","true"
"118","24","65","true"
"119","13","65","true"
"120","13","65","true"
"121","14","65","true"
"122","20","65","true"
"123","13","65","true"
"124","12","65","true"
"125","18","65","true"
"126","18","65","true"
"127","16","65","true"
"128","22","65","true"
"129","12","65","true"
"130","15","65","true"
"131","17","65","true"
"132","14","65","true"
"133","11","65","true"
"134","21","65","true"
"135","19","65","true"
"136","15","65","true"
"137","15","65","true"
"138","16","65","true"
"139","18","65","true"
"140","13","65","true"
"141","20","65","true"
"142","13","65","true"
"143","10","65","true"
"144","14","65","true"
"145","9","65","true"
"146","9","65","true"
"147","10","65","true"
"148","18","65","true"
"149","14","65","true"
"150","11","65","true"
"151","19","65","true"
"152","12","65","true"
"153","9","65","true"
"154","13","65","true"
"155","14","65","true"
"156","10","65","true"
"157","14","65","true"
"158","12","65","true"
"159","8","65","true"
"160","9","65","true"
"161","11","65","true"
"162","11","65","true"
"163","10","65","true"
"164","6","65","true"
"165","7","65","true"
"166","3","65","true"
"167","2","65","true"
"168","6","65","true"
"169","4","65","true"
"170","8","65","true"
"171","6","65","true"
"172","7","65","true"
"173","5","65","true"
"174","4","65","true"
"175","7","65","true"
"176","1","65","true"
"177","4","65","true"
"178","2","65","true"
"179","5","65","true"
"180","5","65","true"
"181","4","65","true"
"182","2","65","true"
"183","6","65","true"
"184","7","65","true"
"185","5","65","true"
"186","5","65","true"
"187","4","65","true"
"188","7","65","true"
"189","2","65","true"
"190","6","65","true"
"191","2","65","true"
"192","6","65","true"
"193","3","65","true"
"194","8","65","true"
"195","7","65","true"
"196","3","65","true"
"197","13","65","true"
"198","8","65","true"
"199","7","65","true"
"200","5","65","true"
"201","3","65","true"
"202","6","65","true"
"203","2","65","true"
"204","3","65","true"
"205","5","65","true"
"206","3","65","true"
"207","4","65","true"
"208","1","65","true"
"209","4","65","true"
"210","6","65","true"
"211","4","65","true"
"212","3","65","true"
"213","5","65","true"
"214","4","65","true"
"215","2","65","true"
"216","3","65","true"
"217","6","65","true"
"218","8","65","true"
"219","8","65","true"
"220","5","65","true"
"221","6","65","true"
"222","3","65","true"
"223","2","65","true"
"224","4","65","true"
"225","1","65","true"
"226","2","65","true"
"227","3","65","true"
"228","8","65","true"
"229","3","65","true"
"230","3","65","true"
"231","9","65","true"
"232","4","65","true"
"233","4","65","true"
"234","4","65","true"
"235","2","65","true"
"236","1","65","true"
"237","5","65","true"
"238","1","65","true"
"239","5","65","true"
"240","4","65","true"
"241","2","65","true"
"242","2","65","true"
"243","5","65","true"
"244","5","65","true"
"245","1","65","true"
"246","4","65","true"
"247","5","65","true"
"248","6","65","true"
"249","6","65","true"
"250","4","65","true"
"251","4","65","true"
"252","7","65","true"
"253","9","65","true"
"254","4","65","true"
"255","3","65","true"
"256","4","65","true"
"257","4","65","true"
"258","1","65","true"
"259","3","65","true"
"260","3","65","true"
"261","5","65","true"
"262","4","65","true"
"263","4","65","true"
"264","3","65","true"
"265","3","65","true"
"266","6","65","true"
"267","2","65","true"
"268","2","65","true"
"269","2","65","true"
"270","5","65","true"
"271","8","65","true"
"272","7","65","true"
"273","0","65","true"
"274","2","65","true"
"275","6","65","true"
"276","3","65","true"
"277","3","65","true"
"278","2","65","true"
"279","4","65","true"
"280","2","65","true"
"281","3","65","true"
"282","3","65","true"
"283","2","65","true"
"284","3","65","true"
"285","5","65","true"
"286","1","65","true"
"287","1","65","true"
"288","1","65","true"
"289","2","65","true"
"290","4","65","true"
"291","4","65","true"
"292","2","65","true"
"293","1","65","true"
"294","0","65","true"
"295","5","65","true"
"296","3","65","true"
"297","0","65","true"
"298","2","65","true"
"299","1","65","true"
"300","4","65","true"
"301","2","65","true"
"302","5","65","true"
"303","2","65","true"
"304","1","65","true"
"305","2","65","true"
"306","3","65","true"
"307","2","65","true"
"308","2","65","true"
"309","1","65","true"
"310","2","65","true"
"311","2","65","true"
"312","3","65","true"
"313","4","65","true"
"314","5","65","true"
"315","1","65","true"
"316","0","65","true"
"317","3","65","true"
"318","2","65","true"
"319","2","65","true"
"320","0","65","true"
"321","3","65","true"
"322","0","65","true"
"323","0","65","true"
"324","2","65","true"
"325","0","65","true"
"326","1","65","true"
"327","0","65","true"
"328","0","65","true"
"329","1","65","true"
"330","1","65","true"
"331","2","65","true"
"332","1","65","true"
"333","3","65","true"
"334","0","65","true"
"335","1","65","true"
"336","3","65","true"
"337","0","65","true"
"338","0","65","true"
"339","0","65","true"
"340","1","65","true"
"341","0","65","true"
"342","0","65","true"
"343","1","65","true"
"344","0","65","true"
"345","0","65","true"
"346","1","65","true"
"347","0","65","true"
"348","0","65","true"
"349","0","65","true"
"350","0","65","true"
"351","1","65","true"
"352","0","65","true"
"353","0","65","true"
"354","1","65","true"
"355","0","65","true"
