"BehaviorSpace results (NetLogo 6.3.0)"
"model.nlogo"
"speculative_accessible_exits"
"01/11/2023 20:35:39:131 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-200","200"
"[run number]","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6"
"scale","2",,,,,,,"2",,,,,,,"2",,,,,,,"2",,,,,,,"2",,,,,,,"2",,,,,,
"glass_bottles","true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,
"adult_fraction","80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,
"population","30000",,,,,,,"30000",,,,,,,"30000",,,,,,,"30000",,,,,,,"30000",,,,,,,"30000",,,,,,
"elderly_fraction","10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,
"slipping_chance","1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,
"people_dim","0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,
"wall-thickness","0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,
"speed_enabled","true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,
"panic_fraction","0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,
"aware_fraction","50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,
"female_fraction","50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,
"children_fraction","10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,
"real_exits","true",,,,,,,"true",,,,,,,"true",,,,,,,"false",,,,,,,"false",,,,,,,"false",,,,,,
"injury_weight","0.1365",,,,,,,"0.1365",,,,,,,"0.1365",,,,,,,"0.1365",,,,,,,"0.1365",,,,,,,"0.1365",,,,,,
"[steps]","348","348","348","348","348","348","348","349","349","349","349","349","349","349","348","348","348","348","348","348","348","348","348","348","348","348","348","348","356","356","356","356","356","356","356","356","356","356","356","356","356","356"

"[initial & final values]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]"
,"16538","10550","2106","686","113","6","1","16348","10830","2035","617","146","24","0","16338","10800","2068","627","148","16","3","17470","10152","1803","486","80","7","2","17416","10160","1826","513","73","12","0","17370","10134","1916","482","91","7","0"
