"export-plot data (NetLogo 6.3.0)"
"model.nlogo"
"01/10/2023 14:03:33:040 +0000"

"MODEL SETTINGS"
"scale","glass_bottles","adult_fraction","population","elderly_fraction","slipping_chance","people_dim","wall-thickness","speed_enabled","panic_fraction","aware_fraction","female_fraction","real_exits","children_fraction","injury_weight"
"2","true","80","30000","10","1","0.75","0","true","0","50","50","true","10","0.1365"

"""Evacuation Speed"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","176","true","""evacuation speed""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""evacuation speed""","true","0","1","65","338"

"""evacuation speed"""
"x","y","color","pen down?"
"0","36","65","true"
"1","49","65","true"
"2","58","65","true"
"3","77","65","true"
"4","70","65","true"
"5","107","65","true"
"6","108","65","true"
"7","114","65","true"
"8","141","65","true"
"9","143","65","true"
"10","146","65","true"
"11","129","65","true"
"12","160","65","true"
"13","142","65","true"
"14","176","65","true"
"15","131","65","true"
"16","136","65","true"
"17","149","65","true"
"18","148","65","true"
"19","141","65","true"
"20","159","65","true"
"21","158","65","true"
"22","156","65","true"
"23","160","65","true"
"24","157","65","true"
"25","139","65","true"
"26","152","65","true"
"27","157","65","true"
"28","155","65","true"
"29","156","65","true"
"30","141","65","true"
"31","130","65","true"
"32","117","65","true"
"33","125","65","true"
"34","130","65","true"
"35","132","65","true"
"36","131","65","true"
"37","112","65","true"
"38","122","65","true"
"39","93","65","true"
"40","95","65","true"
"41","85","65","true"
"42","90","65","true"
"43","64","65","true"
"44","75","65","true"
"45","71","65","true"
"46","81","65","true"
"47","68","65","true"
"48","88","65","true"
"49","78","65","true"
"50","80","65","true"
"51","65","65","true"
"52","79","65","true"
"53","79","65","true"
"54","80","65","true"
"55","68","65","true"
"56","84","65","true"
"57","73","65","true"
"58","75","65","true"
"59","76","65","true"
"60","69","65","true"
"61","81","65","true"
"62","73","65","true"
"63","77","65","true"
"64","75","65","true"
"65","70","65","true"
"66","63","65","true"
"67","46","65","true"
"68","52","65","true"
"69","60","65","true"
"70","62","65","true"
"71","56","65","true"
"72","47","65","true"
"73","40","65","true"
"74","71","65","true"
"75","49","65","true"
"76","52","65","true"
"77","49","65","true"
"78","48","65","true"
"79","43","65","true"
"80","47","65","true"
"81","44","65","true"
"82","39","65","true"
"83","39","65","true"
"84","20","65","true"
"85","32","65","true"
"86","34","65","true"
"87","26","65","true"
"88","17","65","true"
"89","16","65","true"
"90","20","65","true"
"91","33","65","true"
"92","30","65","true"
"93","21","65","true"
"94","17","65","true"
"95","21","65","true"
"96","17","65","true"
"97","23","65","true"
"98","20","65","true"
"99","18","65","true"
"100","12","65","true"
"101","22","65","true"
"102","20","65","true"
"103","18","65","true"
"104","22","65","true"
"105","23","65","true"
"106","10","65","true"
"107","19","65","true"
"108","14","65","true"
"109","12","65","true"
"110","19","65","true"
"111","27","65","true"
"112","13","65","true"
"113","16","65","true"
"114","17","65","true"
"115","15","65","true"
"116","13","65","true"
"117","13","65","true"
"118","7","65","true"
"119","22","65","true"
"120","17","65","true"
"121","12","65","true"
"122","20","65","true"
"123","17","65","true"
"124","9","65","true"
"125","15","65","true"
"126","14","65","true"
"127","18","65","true"
"128","17","65","true"
"129","10","65","true"
"130","15","65","true"
"131","14","65","true"
"132","13","65","true"
"133","12","65","true"
"134","16","65","true"
"135","10","65","true"
"136","14","65","true"
"137","9","65","true"
"138","19","65","true"
"139","13","65","true"
"140","13","65","true"
"141","14","65","true"
"142","16","65","true"
"143","8","65","true"
"144","11","65","true"
"145","13","65","true"
"146","19","65","true"
"147","13","65","true"
"148","17","65","true"
"149","15","65","true"
"150","9","65","true"
"151","15","65","true"
"152","9","65","true"
"153","12","65","true"
"154","11","65","true"
"155","8","65","true"
"156","13","65","true"
"157","13","65","true"
"158","10","65","true"
"159","10","65","true"
"160","15","65","true"
"161","7","65","true"
"162","9","65","true"
"163","7","65","true"
"164","9","65","true"
"165","12","65","true"
"166","9","65","true"
"167","8","65","true"
"168","6","65","true"
"169","3","65","true"
"170","10","65","true"
"171","8","65","true"
"172","4","65","true"
"173","5","65","true"
"174","10","65","true"
"175","8","65","true"
"176","6","65","true"
"177","10","65","true"
"178","6","65","true"
"179","7","65","true"
"180","5","65","true"
"181","7","65","true"
"182","6","65","true"
"183","9","65","true"
"184","6","65","true"
"185","9","65","true"
"186","8","65","true"
"187","5","65","true"
"188","7","65","true"
"189","6","65","true"
"190","6","65","true"
"191","4","65","true"
"192","3","65","true"
"193","4","65","true"
"194","7","65","true"
"195","5","65","true"
"196","3","65","true"
"197","6","65","true"
"198","6","65","true"
"199","6","65","true"
"200","7","65","true"
"201","5","65","true"
"202","8","65","true"
"203","10","65","true"
"204","4","65","true"
"205","3","65","true"
"206","4","65","true"
"207","6","65","true"
"208","7","65","true"
"209","9","65","true"
"210","8","65","true"
"211","3","65","true"
"212","7","65","true"
"213","6","65","true"
"214","2","65","true"
"215","10","65","true"
"216","4","65","true"
"217","5","65","true"
"218","4","65","true"
"219","6","65","true"
"220","4","65","true"
"221","8","65","true"
"222","9","65","true"
"223","3","65","true"
"224","5","65","true"
"225","6","65","true"
"226","7","65","true"
"227","8","65","true"
"228","5","65","true"
"229","9","65","true"
"230","5","65","true"
"231","5","65","true"
"232","4","65","true"
"233","4","65","true"
"234","6","65","true"
"235","4","65","true"
"236","5","65","true"
"237","7","65","true"
"238","5","65","true"
"239","4","65","true"
"240","6","65","true"
"241","6","65","true"
"242","2","65","true"
"243","4","65","true"
"244","4","65","true"
"245","5","65","true"
"246","2","65","true"
"247","7","65","true"
"248","1","65","true"
"249","3","65","true"
"250","5","65","true"
"251","6","65","true"
"252","4","65","true"
"253","5","65","true"
"254","4","65","true"
"255","3","65","true"
"256","7","65","true"
"257","4","65","true"
"258","4","65","true"
"259","3","65","true"
"260","4","65","true"
"261","6","65","true"
"262","6","65","true"
"263","4","65","true"
"264","3","65","true"
"265","3","65","true"
"266","5","65","true"
"267","3","65","true"
"268","6","65","true"
"269","6","65","true"
"270","5","65","true"
"271","3","65","true"
"272","6","65","true"
"273","3","65","true"
"274","2","65","true"
"275","5","65","true"
"276","3","65","true"
"277","3","65","true"
"278","7","65","true"
"279","2","65","true"
"280","4","65","true"
"281","3","65","true"
"282","4","65","true"
"283","4","65","true"
"284","6","65","true"
"285","2","65","true"
"286","3","65","true"
"287","2","65","true"
"288","4","65","true"
"289","2","65","true"
"290","4","65","true"
"291","3","65","true"
"292","4","65","true"
"293","6","65","true"
"294","4","65","true"
"295","2","65","true"
"296","2","65","true"
"297","2","65","true"
"298","5","65","true"
"299","3","65","true"
"300","3","65","true"
"301","4","65","true"
"302","2","65","true"
"303","2","65","true"
"304","4","65","true"
"305","5","65","true"
"306","4","65","true"
"307","4","65","true"
"308","3","65","true"
"309","6","65","true"
"310","5","65","true"
"311","4","65","true"
"312","2","65","true"
"313","1","65","true"
"314","3","65","true"
"315","3","65","true"
"316","4","65","true"
"317","2","65","true"
"318","3","65","true"
"319","3","65","true"
"320","2","65","true"
