"export-plot data (NetLogo 6.3.0)"
"model.nlogo"
"01/08/2023 00:13:53:801 +0000"

"MODEL SETTINGS"
"scale","wall-thickness","population","aware_fraction","panic_fraction","people_dim","speed_enabled","injury_weight","real_exits","glass_bottles","slipping_chance","female_fraction","elderly_fraction","children_fraction","adult_fraction"
"2","0","30000","100","0","0.75","true","0.08","true","true","1","50","10","10","80"

"""Evacuation Speed"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","184","0","316","true","""evacuation speed""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""evacuation speed""","true","0","1","65","159"

"""evacuation speed"""
"x","y","color","pen down?"
"0","82","65","true"
"1","94","65","true"
"2","124","65","true"
"3","145","65","true"
"4","160","65","true"
"5","189","65","true"
"6","189","65","true"
"7","219","65","true"
"8","188","65","true"
"9","202","65","true"
"10","243","65","true"
"11","234","65","true"
"12","253","65","true"
"13","223","65","true"
"14","246","65","true"
"15","287","65","true"
"16","252","65","true"
"17","262","65","true"
"18","229","65","true"
"19","206","65","true"
"20","219","65","true"
"21","222","65","true"
"22","217","65","true"
"23","205","65","true"
"24","209","65","true"
"25","209","65","true"
"26","269","65","true"
"27","245","65","true"
"28","237","65","true"
"29","211","65","true"
"30","217","65","true"
"31","171","65","true"
"32","177","65","true"
"33","155","65","true"
"34","181","65","true"
"35","180","65","true"
"36","177","65","true"
"37","158","65","true"
"38","140","65","true"
"39","134","65","true"
"40","121","65","true"
"41","141","65","true"
"42","113","65","true"
"43","137","65","true"
"44","135","65","true"
"45","128","65","true"
"46","131","65","true"
"47","119","65","true"
"48","127","65","true"
"49","118","65","true"
"50","128","65","true"
"51","115","65","true"
"52","123","65","true"
"53","96","65","true"
"54","104","65","true"
"55","114","65","true"
"56","101","65","true"
"57","108","65","true"
"58","114","65","true"
"59","110","65","true"
"60","110","65","true"
"61","109","65","true"
"62","106","65","true"
"63","111","65","true"
"64","97","65","true"
"65","106","65","true"
"66","103","65","true"
"67","110","65","true"
"68","108","65","true"
"69","105","65","true"
"70","109","65","true"
"71","109","65","true"
"72","116","65","true"
"73","99","65","true"
"74","106","65","true"
"75","99","65","true"
"76","93","65","true"
"77","83","65","true"
"78","90","65","true"
"79","89","65","true"
"80","86","65","true"
"81","80","65","true"
"82","78","65","true"
"83","81","65","true"
"84","77","65","true"
"85","79","65","true"
"86","81","65","true"
"87","82","65","true"
"88","82","65","true"
"89","86","65","true"
"90","86","65","true"
"91","80","65","true"
"92","79","65","true"
"93","86","65","true"
"94","79","65","true"
"95","80","65","true"
"96","89","65","true"
"97","81","65","true"
"98","87","65","true"
"99","82","65","true"
"100","78","65","true"
"101","83","65","true"
"102","84","65","true"
"103","80","65","true"
"104","82","65","true"
"105","83","65","true"
"106","81","65","true"
"107","79","65","true"
"108","83","65","true"
"109","81","65","true"
"110","85","65","true"
"111","78","65","true"
"112","76","65","true"
"113","75","65","true"
"114","82","65","true"
"115","77","65","true"
"116","82","65","true"
"117","80","65","true"
"118","84","65","true"
"119","81","65","true"
"120","83","65","true"
"121","77","65","true"
"122","86","65","true"
"123","83","65","true"
"124","83","65","true"
"125","76","65","true"
"126","75","65","true"
"127","80","65","true"
"128","82","65","true"
"129","78","65","true"
"130","78","65","true"
"131","76","65","true"
"132","85","65","true"
"133","78","65","true"
"134","78","65","true"
"135","86","65","true"
"136","83","65","true"
"137","81","65","true"
"138","83","65","true"
"139","80","65","true"
"140","79","65","true"
"141","88","65","true"
"142","79","65","true"
"143","79","65","true"
"144","77","65","true"
"145","79","65","true"
"146","84","65","true"
"147","76","65","true"
"148","81","65","true"
"149","82","65","true"
"150","77","65","true"
"151","80","65","true"
"152","73","65","true"
"153","73","65","true"
"154","74","65","true"
"155","75","65","true"
"156","76","65","true"
"157","73","65","true"
"158","74","65","true"
"159","71","65","true"
