"BehaviorSpace results (NetLogo 6.3.0)"
"model.nlogo"
"speculative_aware_fraction"
"01/08/2023 00:13:55:798 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-200","200"
"[run number]","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6"
"scale","2",,,,,,,"2",,,,,,,"2",,,,,,,"2",,,,,,,"2",,,,,,,"2",,,,,,
"glass_bottles","true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,
"adult_fraction","80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,
"population","30000",,,,,,,"30000",,,,,,,"30000",,,,,,,"30000",,,,,,,"30000",,,,,,,"30000",,,,,,
"elderly_fraction","10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,
"slipping_chance","1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,
"people_dim","0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,,"0.75",,,,,,
"wall-thickness","0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,
"speed_enabled","true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,
"panic_fraction","0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,,"0",,,,,,
"aware_fraction","50",,,,,,,"60",,,,,,,"70",,,,,,,"80",,,,,,,"90",,,,,,,"100",,,,,,
"female_fraction","50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,
"children_fraction","10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,
"real_exits","true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,,"true",,,,,,
"injury_weight","0.08",,,,,,,"0.08",,,,,,,"0.08",,,,,,,"0.08",,,,,,,"0.08",,,,,,,"0.08",,,,,,
"[steps]","347","347","347","347","347","347","347","352","352","352","352","352","352","352","350","350","350","350","350","350","350","342","342","342","342","342","342","342","338","338","338","338","338","338","338","160","160","160","160","160","160","160"

"[initial & final values]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]"
,"19538","8863","1243","294","52","8","2","19126","9219","1240","284","84","30","17","18152","10035","1198","338","155","76","46","17044","11056","1128","326","178","121","147","15902","11810","1298","385","246","157","202","14598","12694","1522","443","256","182","305"
