"export-plot data (NetLogo 6.3.0)"
"model.nlogo"
"01/11/2023 19:56:59:072 +0000"

"MODEL SETTINGS"
"scale","glass_bottles","adult_fraction","population","elderly_fraction","slipping_chance","people_dim","wall-thickness","speed_enabled","panic_fraction","aware_fraction","female_fraction","children_fraction","real_exits","injury_weight"
"2","true","80","30000","10","1","0.75","0","true","0","50","50","10","true","0.1365"

"""Evacuation Speed"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","204","true","""evacuation speed""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""evacuation speed""","true","0","1","65","342"

"""evacuation speed"""
"x","y","color","pen down?"
"0","28","65","true"
"1","30","65","true"
"2","65","65","true"
"3","82","65","true"
"4","97","65","true"
"5","119","65","true"
"6","138","65","true"
"7","121","65","true"
"8","129","65","true"
"9","133","65","true"
"10","136","65","true"
"11","141","65","true"
"12","161","65","true"
"13","139","65","true"
"14","142","65","true"
"15","143","65","true"
"16","185","65","true"
"17","154","65","true"
"18","149","65","true"
"19","136","65","true"
"20","156","65","true"
"21","132","65","true"
"22","161","65","true"
"23","150","65","true"
"24","145","65","true"
"25","168","65","true"
"26","144","65","true"
"27","150","65","true"
"28","153","65","true"
"29","153","65","true"
"30","153","65","true"
"31","156","65","true"
"32","134","65","true"
"33","135","65","true"
"34","105","65","true"
"35","138","65","true"
"36","90","65","true"
"37","106","65","true"
"38","102","65","true"
"39","106","65","true"
"40","105","65","true"
"41","88","65","true"
"42","79","65","true"
"43","81","65","true"
"44","101","65","true"
"45","74","65","true"
"46","79","65","true"
"47","83","65","true"
"48","90","65","true"
"49","75","65","true"
"50","71","65","true"
"51","70","65","true"
"52","64","65","true"
"53","84","65","true"
"54","74","65","true"
"55","86","65","true"
"56","68","65","true"
"57","88","65","true"
"58","73","65","true"
"59","96","65","true"
"60","71","65","true"
"61","60","65","true"
"62","71","65","true"
"63","71","65","true"
"64","61","65","true"
"65","57","65","true"
"66","59","65","true"
"67","53","65","true"
"68","40","65","true"
"69","49","65","true"
"70","48","65","true"
"71","54","65","true"
"72","59","65","true"
"73","45","65","true"
"74","45","65","true"
"75","50","65","true"
"76","62","65","true"
"77","60","65","true"
"78","38","65","true"
"79","43","65","true"
"80","44","65","true"
"81","39","65","true"
"82","34","65","true"
"83","36","65","true"
"84","26","65","true"
"85","27","65","true"
"86","28","65","true"
"87","15","65","true"
"88","15","65","true"
"89","19","65","true"
"90","19","65","true"
"91","25","65","true"
"92","20","65","true"
"93","13","65","true"
"94","21","65","true"
"95","24","65","true"
"96","19","65","true"
"97","24","65","true"
"98","21","65","true"
"99","20","65","true"
"100","20","65","true"
"101","24","65","true"
"102","19","65","true"
"103","16","65","true"
"104","11","65","true"
"105","21","65","true"
"106","12","65","true"
"107","20","65","true"
"108","19","65","true"
"109","12","65","true"
"110","18","65","true"
"111","11","65","true"
"112","17","65","true"
"113","17","65","true"
"114","24","65","true"
"115","19","65","true"
"116","21","65","true"
"117","13","65","true"
"118","11","65","true"
"119","20","65","true"
"120","17","65","true"
"121","15","65","true"
"122","16","65","true"
"123","11","65","true"
"124","13","65","true"
"125","14","65","true"
"126","22","65","true"
"127","12","65","true"
"128","15","65","true"
"129","11","65","true"
"130","22","65","true"
"131","22","65","true"
"132","12","65","true"
"133","13","65","true"
"134","11","65","true"
"135","9","65","true"
"136","17","65","true"
"137","15","65","true"
"138","11","65","true"
"139","14","65","true"
"140","18","65","true"
"141","13","65","true"
"142","7","65","true"
"143","10","65","true"
"144","17","65","true"
"145","18","65","true"
"146","15","65","true"
"147","11","65","true"
"148","15","65","true"
"149","9","65","true"
"150","10","65","true"
"151","16","65","true"
"152","12","65","true"
"153","9","65","true"
"154","7","65","true"
"155","16","65","true"
"156","11","65","true"
"157","12","65","true"
"158","15","65","true"
"159","6","65","true"
"160","9","65","true"
