"export-plot data (NetLogo 6.3.0)"
"model.nlogo"
"01/11/2023 19:56:45:833 +0000"

"MODEL SETTINGS"
"scale","wall-thickness","population","aware_fraction","panic_fraction","people_dim","speed_enabled","injury_weight","real_exits","glass_bottles","slipping_chance","female_fraction","elderly_fraction","children_fraction","adult_fraction"
"2","0","30000","50","0","0.75","true","0.1365","true","true","1","50","10","10","80"

"""Evacuation Speed"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","183","true","""evacuation speed""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""evacuation speed""","true","0","1","65","357"

"""evacuation speed"""
"x","y","color","pen down?"
"0","37","65","true"
"1","58","65","true"
"2","61","65","true"
"3","66","65","true"
"4","69","65","true"
"5","104","65","true"
"6","107","65","true"
"7","121","65","true"
"8","129","65","true"
"9","122","65","true"
"10","116","65","true"
"11","144","65","true"
"12","143","65","true"
"13","142","65","true"
"14","143","65","true"
"15","145","65","true"
"16","156","65","true"
"17","140","65","true"
"18","155","65","true"
"19","166","65","true"
"20","169","65","true"
"21","133","65","true"
"22","153","65","true"
"23","177","65","true"
"24","157","65","true"
"25","150","65","true"
"26","134","65","true"
"27","178","65","true"
"28","161","65","true"
"29","167","65","true"
"30","139","65","true"
"31","115","65","true"
"32","141","65","true"
"33","134","65","true"
"34","128","65","true"
"35","127","65","true"
"36","108","65","true"
"37","120","65","true"
"38","112","65","true"
"39","92","65","true"
"40","93","65","true"
"41","83","65","true"
"42","85","65","true"
"43","73","65","true"
"44","83","65","true"
"45","91","65","true"
"46","82","65","true"
"47","72","65","true"
"48","78","65","true"
"49","93","65","true"
"50","77","65","true"
"51","69","65","true"
"52","67","65","true"
"53","87","65","true"
"54","71","65","true"
"55","75","65","true"
"56","71","65","true"
"57","70","65","true"
"58","68","65","true"
"59","70","65","true"
"60","60","65","true"
"61","52","65","true"
"62","76","65","true"
"63","75","65","true"
"64","59","65","true"
"65","50","65","true"
"66","58","65","true"
"67","58","65","true"
"68","47","65","true"
"69","74","65","true"
"70","49","65","true"
"71","44","65","true"
"72","67","65","true"
"73","51","65","true"
"74","56","65","true"
"75","37","65","true"
"76","46","65","true"
"77","38","65","true"
"78","52","65","true"
"79","31","65","true"
"80","44","65","true"
"81","31","65","true"
"82","35","65","true"
"83","29","65","true"
"84","40","65","true"
"85","22","65","true"
"86","35","65","true"
"87","28","65","true"
"88","28","65","true"
"89","26","65","true"
"90","29","65","true"
"91","29","65","true"
"92","26","65","true"
"93","20","65","true"
"94","22","65","true"
"95","14","65","true"
"96","17","65","true"
"97","14","65","true"
"98","20","65","true"
"99","16","65","true"
"100","15","65","true"
"101","16","65","true"
"102","16","65","true"
"103","26","65","true"
"104","17","65","true"
"105","14","65","true"
"106","14","65","true"
"107","18","65","true"
"108","21","65","true"
"109","16","65","true"
"110","18","65","true"
"111","15","65","true"
"112","14","65","true"
"113","20","65","true"
"114","13","65","true"
"115","23","65","true"
"116","16","65","true"
"117","11","65","true"
"118","16","65","true"
"119","21","65","true"
"120","10","65","true"
"121","15","65","true"
"122","15","65","true"
"123","12","65","true"
"124","14","65","true"
"125","11","65","true"
"126","22","65","true"
"127","12","65","true"
"128","14","65","true"
"129","11","65","true"
"130","12","65","true"
"131","16","65","true"
"132","15","65","true"
"133","10","65","true"
"134","9","65","true"
"135","14","65","true"
"136","10","65","true"
"137","19","65","true"
"138","11","65","true"
"139","13","65","true"
"140","15","65","true"
"141","7","65","true"
"142","14","65","true"
"143","10","65","true"
"144","8","65","true"
"145","13","65","true"
"146","17","65","true"
"147","14","65","true"
"148","13","65","true"
"149","12","65","true"
"150","12","65","true"
"151","11","65","true"
"152","11","65","true"
"153","13","65","true"
"154","10","65","true"
"155","11","65","true"
"156","11","65","true"
"157","8","65","true"
"158","4","65","true"
"159","7","65","true"
"160","7","65","true"
"161","12","65","true"
"162","9","65","true"
"163","7","65","true"
"164","4","65","true"
"165","8","65","true"
"166","9","65","true"
"167","11","65","true"
"168","4","65","true"
"169","7","65","true"
"170","3","65","true"
"171","13","65","true"
"172","8","65","true"
"173","4","65","true"
"174","3","65","true"
"175","9","65","true"
"176","7","65","true"
"177","4","65","true"
"178","1","65","true"
"179","4","65","true"
"180","7","65","true"
"181","3","65","true"
"182","8","65","true"
"183","6","65","true"
"184","4","65","true"
"185","5","65","true"
"186","5","65","true"
"187","4","65","true"
"188","5","65","true"
"189","8","65","true"
"190","3","65","true"
"191","5","65","true"
"192","9","65","true"
"193","3","65","true"
"194","3","65","true"
"195","7","65","true"
"196","5","65","true"
"197","2","65","true"
"198","2","65","true"
"199","4","65","true"
"200","2","65","true"
"201","2","65","true"
"202","3","65","true"
"203","5","65","true"
"204","5","65","true"
"205","3","65","true"
"206","9","65","true"
"207","5","65","true"
"208","3","65","true"
"209","8","65","true"
"210","6","65","true"
"211","5","65","true"
"212","3","65","true"
"213","0","65","true"
"214","7","65","true"
"215","4","65","true"
"216","3","65","true"
"217","3","65","true"
"218","3","65","true"
"219","4","65","true"
"220","6","65","true"
"221","1","65","true"
"222","8","65","true"
"223","7","65","true"
"224","4","65","true"
"225","3","65","true"
"226","5","65","true"
"227","5","65","true"
"228","3","65","true"
"229","5","65","true"
"230","4","65","true"
"231","5","65","true"
"232","4","65","true"
"233","3","65","true"
"234","2","65","true"
"235","6","65","true"
"236","3","65","true"
"237","1","65","true"
"238","5","65","true"
"239","5","65","true"
"240","3","65","true"
"241","3","65","true"
"242","1","65","true"
"243","6","65","true"
"244","3","65","true"
"245","3","65","true"
"246","4","65","true"
"247","5","65","true"
"248","3","65","true"
"249","6","65","true"
"250","4","65","true"
"251","4","65","true"
"252","1","65","true"
"253","3","65","true"
"254","5","65","true"
"255","2","65","true"
"256","2","65","true"
"257","1","65","true"
"258","5","65","true"
"259","5","65","true"
"260","3","65","true"
"261","14","65","true"
"262","1","65","true"
"263","5","65","true"
"264","5","65","true"
"265","4","65","true"
"266","1","65","true"
"267","4","65","true"
"268","2","65","true"
"269","8","65","true"
"270","5","65","true"
"271","1","65","true"
"272","4","65","true"
"273","4","65","true"
"274","1","65","true"
"275","4","65","true"
"276","1","65","true"
"277","4","65","true"
"278","1","65","true"
"279","3","65","true"
"280","2","65","true"
"281","0","65","true"
"282","5","65","true"
"283","4","65","true"
"284","4","65","true"
"285","3","65","true"
"286","4","65","true"
"287","7","65","true"
"288","3","65","true"
"289","2","65","true"
"290","3","65","true"
"291","3","65","true"
"292","3","65","true"
"293","6","65","true"
"294","4","65","true"
"295","3","65","true"
"296","3","65","true"
"297","3","65","true"
"298","1","65","true"
"299","3","65","true"
"300","0","65","true"
"301","2","65","true"
"302","2","65","true"
"303","1","65","true"
"304","2","65","true"
"305","1","65","true"
"306","6","65","true"
"307","1","65","true"
"308","5","65","true"
"309","3","65","true"
"310","2","65","true"
"311","2","65","true"
"312","2","65","true"
"313","2","65","true"
"314","5","65","true"
"315","6","65","true"
"316","2","65","true"
"317","0","65","true"
"318","2","65","true"
"319","4","65","true"
"320","4","65","true"
"321","3","65","true"
"322","1","65","true"
"323","0","65","true"
"324","4","65","true"
"325","2","65","true"
"326","0","65","true"
"327","2","65","true"
"328","1","65","true"
"329","4","65","true"
"330","1","65","true"
"331","2","65","true"
"332","1","65","true"
"333","0","65","true"
"334","1","65","true"
"335","1","65","true"
"336","3","65","true"
"337","2","65","true"
"338","0","65","true"
"339","1","65","true"
"340","2","65","true"
"341","1","65","true"
"342","2","65","true"
"343","1","65","true"
"344","3","65","true"
"345","0","65","true"
"346","0","65","true"
"347","0","65","true"
"348","0","65","true"
"349","1","65","true"
"350","0","65","true"
"351","0","65","true"
"352","0","65","true"
"353","0","65","true"
"354","0","65","true"
"355","0","65","true"
"356","1","65","true"
"357","0","65","true"
