"export-plot data (NetLogo 6.3.0)"
"model.nlogo"
"01/11/2023 19:56:44:487 +0000"

"MODEL SETTINGS"
"scale","wall-thickness","population","aware_fraction","panic_fraction","people_dim","speed_enabled","injury_weight","real_exits","glass_bottles","slipping_chance","female_fraction","elderly_fraction","children_fraction","adult_fraction"
"2","0","30000","50","0","0.75","true","0.1365","true","false","1","50","10","10","80"

"""Evacuation Speed"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","208","true","""evacuation speed""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""evacuation speed""","true","0","1","65","345"

"""evacuation speed"""
"x","y","color","pen down?"
"0","32","65","true"
"1","38","65","true"
"2","85","65","true"
"3","62","65","true"
"4","76","65","true"
"5","114","65","true"
"6","133","65","true"
"7","138","65","true"
"8","112","65","true"
"9","127","65","true"
"10","126","65","true"
"11","151","65","true"
"12","145","65","true"
"13","141","65","true"
"14","159","65","true"
"15","156","65","true"
"16","162","65","true"
"17","151","65","true"
"18","167","65","true"
"19","148","65","true"
"20","128","65","true"
"21","152","65","true"
"22","159","65","true"
"23","147","65","true"
"24","189","65","true"
"25","149","65","true"
"26","144","65","true"
"27","168","65","true"
"28","165","65","true"
"29","139","65","true"
"30","116","65","true"
"31","118","65","true"
"32","123","65","true"
"33","125","65","true"
"34","122","65","true"
"35","123","65","true"
"36","103","65","true"
"37","115","65","true"
"38","105","65","true"
"39","85","65","true"
"40","89","65","true"
"41","83","65","true"
"42","85","65","true"
"43","71","65","true"
"44","81","65","true"
"45","67","65","true"
"46","73","65","true"
"47","84","65","true"
"48","86","65","true"
"49","69","65","true"
"50","72","65","true"
"51","71","65","true"
"52","72","65","true"
"53","63","65","true"
"54","81","65","true"
"55","67","65","true"
"56","81","65","true"
"57","85","65","true"
"58","63","65","true"
"59","76","65","true"
"60","71","65","true"
"61","58","65","true"
"62","62","65","true"
"63","82","65","true"
"64","46","65","true"
"65","61","65","true"
"66","55","65","true"
"67","60","65","true"
"68","54","65","true"
"69","46","65","true"
"70","41","65","true"
"71","53","65","true"
"72","39","65","true"
"73","56","65","true"
"74","45","65","true"
"75","55","65","true"
"76","48","65","true"
"77","48","65","true"
"78","46","65","true"
"79","30","65","true"
"80","15","65","true"
"81","28","65","true"
"82","33","65","true"
"83","20","65","true"
"84","28","65","true"
"85","19","65","true"
"86","27","65","true"
"87","19","65","true"
"88","21","65","true"
"89","11","65","true"
"90","17","65","true"
"91","17","65","true"
"92","17","65","true"
"93","16","65","true"
"94","17","65","true"
"95","9","65","true"
"96","13","65","true"
"97","20","65","true"
"98","16","65","true"
"99","20","65","true"
"100","15","65","true"
"101","14","65","true"
"102","16","65","true"
"103","17","65","true"
"104","13","65","true"
"105","9","65","true"
"106","17","65","true"
"107","17","65","true"
"108","10","65","true"
"109","8","65","true"
"110","11","65","true"
"111","10","65","true"
"112","8","65","true"
"113","8","65","true"
"114","12","65","true"
"115","9","65","true"
"116","10","65","true"
"117","17","65","true"
"118","19","65","true"
"119","11","65","true"
"120","14","65","true"
"121","16","65","true"
"122","14","65","true"
"123","13","65","true"
"124","15","65","true"
"125","12","65","true"
"126","11","65","true"
"127","14","65","true"
"128","19","65","true"
"129","12","65","true"
"130","7","65","true"
"131","16","65","true"
"132","13","65","true"
"133","15","65","true"
"134","16","65","true"
"135","11","65","true"
"136","12","65","true"
"137","16","65","true"
"138","12","65","true"
"139","10","65","true"
"140","14","65","true"
"141","11","65","true"
"142","13","65","true"
"143","17","65","true"
"144","18","65","true"
"145","9","65","true"
"146","13","65","true"
"147","10","65","true"
"148","12","65","true"
"149","14","65","true"
"150","14","65","true"
"151","11","65","true"
"152","11","65","true"
"153","11","65","true"
"154","14","65","true"
"155","15","65","true"
"156","12","65","true"
"157","9","65","true"
"158","11","65","true"
"159","3","65","true"
"160","7","65","true"
"161","7","65","true"
"162","2","65","true"
"163","6","65","true"
"164","2","65","true"
"165","3","65","true"
"166","3","65","true"
