"export-plot data (NetLogo 6.3.0)"
"model.nlogo"
"01/10/2023 13:59:20:812 +0000"

"MODEL SETTINGS"
"scale","wall-thickness","population","aware_fraction","panic_fraction","people_dim","speed_enabled","injury_weight","real_exits","glass_bottles","slipping_chance","female_fraction","elderly_fraction","children_fraction","adult_fraction"
"2","0","22500","50","0","0.75","true","0.1365","true","true","1","50","10","10","80"

"""Evacuation Speed"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","152","true","""evacuation speed""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""evacuation speed""","true","0","1","65","347"

"""evacuation speed"""
"x","y","color","pen down?"
"0","28","65","true"
"1","39","65","true"
"2","62","65","true"
"3","63","65","true"
"4","76","65","true"
"5","67","65","true"
"6","90","65","true"
"7","109","65","true"
"8","90","65","true"
"9","77","65","true"
"10","93","65","true"
"11","113","65","true"
"12","111","65","true"
"13","121","65","true"
"14","122","65","true"
"15","123","65","true"
"16","115","65","true"
"17","126","65","true"
"18","138","65","true"
"19","110","65","true"
"20","107","65","true"
"21","107","65","true"
"22","123","65","true"
"23","110","65","true"
"24","114","65","true"
"25","101","65","true"
"26","102","65","true"
"27","101","65","true"
"28","121","65","true"
"29","115","65","true"
"30","119","65","true"
"31","81","65","true"
"32","76","65","true"
"33","100","65","true"
"34","96","65","true"
"35","84","65","true"
"36","104","65","true"
"37","80","65","true"
"38","65","65","true"
"39","77","65","true"
"40","71","65","true"
"41","69","65","true"
"42","58","65","true"
"43","52","65","true"
"44","71","65","true"
"45","50","65","true"
"46","56","65","true"
"47","59","65","true"
"48","63","65","true"
"49","72","65","true"
"50","56","65","true"
"51","53","65","true"
"52","56","65","true"
"53","61","65","true"
"54","45","65","true"
"55","48","65","true"
"56","44","65","true"
"57","53","65","true"
"58","52","65","true"
"59","49","65","true"
"60","54","65","true"
"61","56","65","true"
"62","55","65","true"
"63","43","65","true"
"64","47","65","true"
"65","42","65","true"
"66","40","65","true"
"67","45","65","true"
"68","38","65","true"
"69","35","65","true"
"70","37","65","true"
"71","33","65","true"
"72","39","65","true"
"73","38","65","true"
"74","32","65","true"
"75","39","65","true"
"76","31","65","true"
"77","29","65","true"
"78","27","65","true"
"79","28","65","true"
"80","27","65","true"
